Date,Open,High,Low,Close,Adj Close
1/23/2025,145.05,147.23,143.72,147.22,147.22
1/22/2025,144.66,147.79,143.67,147.07,147.07
1/21/2025,139.16,141.83,137.09,140.83,140.83
1/17/2025,136.69,138.5,135.46,137.71,137.71
1/16/2025,138.64,138.75,133.49,133.57,133.57
1/15/2025,133.65,136.45,131.29,136.24,136.24
1/14/2025,136.05,136.38,130.05,131.76,131.76
1/13/2025,129.99,133.49,129.51,133.23,133.23
1/10/2025,137.45,139.92,134.22,135.91,135.91
1/8/2025,142.58,143.95,137.56,140.11,140.11
1/7/2025,153.03,153.13,140.01,140.14,140.14
1/6/2025,148.59,152.16,147.82,149.43,149.43
1/3/2025,140.01,144.9,139.73,144.47,144.47
1/2/2025,136,138.88,134.63,138.31,138.31
12/31/2024,138.03,138.07,133.83,134.29,134.29
12/30/2024,134.83,140.27,134.02,137.49,137.49
12/27/2024,138.55,139.02,134.71,137.01,137.01
12/26/2024,139.7,140.85,137.73,139.93,139.93
12/24/2024,140,141.9,138.65,140.22,140.22
12/23/2024,136.28,139.79,135.12,139.67,139.67
12/20/2024,129.81,135.28,128.22,134.7,134.7
12/19/2024,131.76,134.03,129.55,130.68,130.68
12/18/2024,133.86,136.7,128.28,128.91,128.91
12/17/2024,129.09,131.59,126.86,130.39,130.39
12/16/2024,134.18,134.4,130.42,132,132
12/13/2024,138.94,139.6,132.54,134.25,134.25
12/12/2024,137.08,138.44,135.8,137.34,137.34
12/11/2024,137.36,140.17,135.21,139.31,139.31
12/10/2024,139.01,141.82,133.79,135.07,135.07
12/9/2024,138.97,139.95,137.13,138.81,138.81
12/6/2024,144.6,145.7,141.31,142.44,142.44
12/5/2024,145.11,146.54,143.95,145.06,145.06
12/4/2024,142,145.79,140.29,145.14,145.13
12/3/2024,138.26,140.54,137.95,140.26,140.25
12/2/2024,138.83,140.45,137.82,138.63,138.62
11/29/2024,136.78,139.35,136.05,138.25,138.24
11/27/2024,135.01,137.22,131.8,135.34,135.33
11/26/2024,137.7,139.3,135.67,136.92,136.91
11/25/2024,141.99,142.05,135.82,136.02,136.01
11/22/2024,145.93,147.16,141.1,141.95,141.94
11/21/2024,149.35,152.89,140.7,146.67,146.66
11/20/2024,147.41,147.56,142.73,145.89,145.88
11/19/2024,141.32,147.13,140.99,147.01,147
11/18/2024,139.5,141.55,137.15,140.15,140.14
11/15/2024,144.87,145.24,140.08,141.98,141.97
11/14/2024,147.64,149,145.55,146.76,146.75
11/13/2024,149.07,149.33,145.9,146.27,146.26
11/12/2024,146.78,149.65,146.01,148.29,148.28
11/11/2024,148.68,148.85,143.57,145.26,145.25
11/8/2024,148.77,149.77,146.26,147.63,147.62
11/7/2024,146.39,148.93,146.17,148.88,148.87
11/6/2024,142.96,146.49,141.96,145.61,145.6
11/5/2024,137.45,140.37,137.33,139.91,139.9
11/4/2024,137.21,138.96,135.57,136.05,136.04
11/1/2024,134.7,137.31,134.57,135.4,135.39
10/31/2024,137.6,137.61,132.11,132.76,132.75
10/30/2024,139.54,140.33,136.81,139.34,139.33
10/29/2024,140.29,142.26,138.9,141.25,141.24
10/28/2024,143,143.14,140.05,140.52,140.51
10/25/2024,140.93,144.13,140.8,141.54,141.53
10/24/2024,140.82,141.35,138.46,140.41,140.4
10/23/2024,142.03,142.43,137.46,139.56,139.55
10/22/2024,142.91,144.42,141.78,143.59,143.58
10/21/2024,138.13,143.71,138,143.71,143.7
10/18/2024,138.67,138.9,137.28,138,137.99
10/17/2024,139.34,140.89,136.87,136.93,136.92
10/16/2024,133.98,136.62,131.58,135.72,135.71
10/15/2024,137.87,138.57,128.74,131.6,131.59
10/14/2024,136.47,139.6,136.3,138.07,138.06
10/11/2024,134.01,135.78,133.66,134.8,134.79
10/10/2024,131.91,135,131,134.81,134.8
10/9/2024,134.11,134.52,131.38,132.65,132.64
10/8/2024,130.26,133.48,129.42,132.89,132.88
10/7/2024,124.99,130.64,124.95,127.72,127.71
10/4/2024,124.94,125.04,121.83,124.92,124.91
10/3/2024,120.92,124.36,120.34,122.85,122.84
10/2/2024,116.44,119.38,115.14,118.85,118.84
10/1/2024,121.77,122.44,115.79,117,116.99
9/30/2024,118.31,121.5,118.15,121.44,121.43
9/27/2024,123.97,124.03,119.26,121.4,121.39
9/26/2024,126.8,127.67,121.8,124.04,124.03
9/25/2024,122.02,124.94,121.61,123.51,123.5
9/24/2024,116.52,121.8,115.38,120.87,120.86
9/23/2024,116.55,116.99,114.86,116.26,116.25
9/20/2024,117.06,118.62,115.39,116,115.99
9/19/2024,117.35,119.66,117.25,117.87,117.86
9/18/2024,115.89,117.7,113.22,113.37,113.36
9/17/2024,118.17,118.8,114.83,115.59,115.58
9/16/2024,116.79,118.18,114.36,116.78,116.77
9/13/2024,119.08,119.96,117.6,119.1,119.09
9/12/2024,116.84,120.79,115.38,119.14,119.13
9/11/2024,109.39,117.19,107.42,116.91,116.89
9/10/2024,107.81,109.4,104.95,108.1,108.08
9/9/2024,104.88,106.55,103.69,106.47,106.45
9/6/2024,108.04,108.15,100.95,102.83,102.81
9/5/2024,104.99,109.65,104.76,107.21,107.19
9/4/2024,105.41,113.27,104.12,106.21,106.19
9/3/2024,116.01,116.21,107.29,108,107.98
8/30/2024,119.53,121.75,117.22,119.37,119.35
8/29/2024,121.36,124.43,116.71,117.59,117.57
8/28/2024,128.12,128.33,122.64,125.61,125.59
8/27/2024,125.05,129.2,123.88,128.3,128.28
8/26/2024,129.57,131.26,124.37,126.46,126.44
8/23/2024,125.86,129.6,125.22,129.37,129.35
8/22/2024,130.02,130.75,123.1,123.74,123.72
8/21/2024,127.32,129.35,126.66,128.5,128.48
8/20/2024,128.4,129.88,125.89,127.25,127.23
8/19/2024,124.28,130,123.42,130,129.98
8/16/2024,121.94,125,121.18,124.58,124.56
8/15/2024,118.76,123.24,117.47,122.86,122.84
8/14/2024,118.53,118.6,114.07,118.08,118.06
8/13/2024,112.44,116.23,111.58,116.14,116.12
8/12/2024,106.32,111.07,106.26,109.02,109
8/9/2024,105.64,106.6,103.43,104.75,104.73
8/8/2024,102,105.5,97.52,104.97,104.95
8/7/2024,107.81,108.8,98.69,98.91,98.89
8/6/2024,103.84,107.71,100.55,104.25,104.23
8/5/2024,92.06,103.41,90.69,100.45,100.43
8/2/2024,103.76,108.72,101.37,107.27,107.25
8/1/2024,117.53,120.16,106.81,109.21,109.19
7/31/2024,112.9,118.34,110.88,117.02,117
7/30/2024,111.52,111.99,102.54,103.73,103.71
7/29/2024,113.69,116.28,111.3,111.59,111.57
7/26/2024,116.19,116.2,111.58,113.06,113.04
7/25/2024,113.04,116.63,106.3,112.28,112.26
7/24/2024,119.17,119.95,113.44,114.25,114.23
7/23/2024,122.78,124.69,122.1,122.59,122.57
7/22/2024,120.35,124.07,119.86,123.54,123.52
7/19/2024,120.35,121.6,117.37,117.93,117.91
7/18/2024,121.85,122.4,116.56,121.09,121.07
7/17/2024,121.35,121.85,116.72,117.99,117.97
7/16/2024,128.44,129.04,124.58,126.36,126.34
7/15/2024,130.56,131.39,127.18,128.44,128.42
7/12/2024,128.26,131.92,127.22,129.24,129.22
7/11/2024,135.75,136.15,127.05,127.4,127.38
7/10/2024,134.03,135.1,132.42,134.91,134.89
7/9/2024,130.35,133.82,128.65,131.38,131.36
7/8/2024,127.49,130.77,127.04,128.2,128.18
7/5/2024,127.38,128.85,125.68,125.83,125.81
7/3/2024,121.66,128.28,121.36,128.28,128.26
7/2/2024,121.13,123.41,121.03,122.67,122.65
7/1/2024,123.47,124.84,118.83,124.3,124.28
6/28/2024,124.58,127.71,122.75,123.54,123.52
6/27/2024,124.1,126.41,122.92,123.99,123.97
6/26/2024,126.13,128.12,122.6,126.4,126.38
6/25/2024,121.2,126.5,119.32,126.09,126.07
6/24/2024,123.24,124.46,118.04,118.11,118.09
6/21/2024,127.12,130.63,124.3,126.57,126.55
6/20/2024,139.8,140.76,129.52,130.78,130.76
6/18/2024,131.14,136.33,130.69,135.58,135.56
6/17/2024,132.99,133.73,129.58,130.98,130.96
6/14/2024,129.96,132.84,128.32,131.88,131.86
6/13/2024,129.39,129.8,127.16,129.61,129.59
6/12/2024,123.06,126.88,122.57,125.2,125.18
6/11/2024,121.77,122.87,118.74,120.91,120.89
